[./benchmark_queries/tpcds_all.sql] stmt#1 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#30 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss as (\n select\n          i_item_id,sum(ss_ext_sales_price) total_sales\n from\n \t' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#31 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'wss as \n (select d_week_seq,\n        ss_store_sk,\n        sum(case when (d_day_n' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#32 failed: (1146, "Table 'sbtest.item' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#33 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_class) as revenueratio\nfrom\t\n\tstore_sales\n    \t,item \n    \t,date' at line 8")
[./benchmark_queries/tpcds_all.sql] stmt#34 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#35 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(\n \tpartition by grouping(s_state)+grouping(s_county),\n \tcase when grouping(s_co' at line 6")
[./benchmark_queries/tpcds_all.sql] stmt#36 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_category order by sumsales desc) rk\n      from (select i_categor' at line 11")
[./benchmark_queries/tpcds_all.sql] stmt#37 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#38 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'customer_total_return as\n (select cr_returning_customer_sk as ctr_customer_sk\n  ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#39 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ssci as (\nselect ss_customer_sk customer_sk\n      ,ss_item_sk item_sk\nfrom store' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#40 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#41 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#42 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#43 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'v1 as(\n select i_category, i_brand,\n        s_store_name, s_company_name,\n      ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#44 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ws_wh as\n(select ws1.ws_order_number,ws1.ws_warehouse_sk wh1,ws2.ws_warehouse_sk' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#45 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#46 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#47 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'web_v1 as (\nselect\n  ws_item_sk item_sk, d_date,\n  sum(sum(ws_sales_price))\n    ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#48 failed: (1146, "Table 'sbtest.customer' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#49 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(order by return_ratio) as return_rank\n \t,rank() over (order by currency_ratio) ' at line 13")
[./benchmark_queries/tpcds_all.sql] stmt#50 failed: (1146, "Table 'sbtest.reason' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#51 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss as\n (select ca_county,d_qoy, d_year,sum(ss_ext_sales_price) as store_sales\n f' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#52 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'year_total as (\n select c_customer_id customer_id\n       ,c_first_name customer_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#53 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#54 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#55 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect\n    select distinct c_last_name, c_first_name, d_date\n    from catalog' at line 7")
[./benchmark_queries/tpcds_all.sql] stmt#56 failed: (1221, 'Incorrect usage of CUBE/ROLLUP and ORDER BY')
[./benchmark_queries/tpcds_all.sql] stmt#57 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_category, i_brand, s_store_name, s_company_name)\n         avg_mo' at line 8")
[./benchmark_queries/tpcds_all.sql] stmt#58 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#59 failed: (1146, "Table 'sbtest.customer_address' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#60 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#61 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#62 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#63 failed: (1146, "Table 'sbtest.item' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#64 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect\n      select ca_zip\n      from (SELECT substr(ca_zip,1,5) ca_zip,count' at line 91")
[./benchmark_queries/tpcds_all.sql] stmt#65 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_class) as revenueratio\nfrom\t\n\tweb_sales\n    \t,item \n    \t,date_d' at line 8")
[./benchmark_queries/tpcds_all.sql] stmt#66 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_class) as revenueratio\n from\tcatalog_sales\n     ,item \n     ,dat' at line 8")
[./benchmark_queries/tpcds_all.sql] stmt#67 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#68 failed: (1146, "Table 'sbtest.item' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#69 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'frequent_ss_items as \n (select substr(i_item_desc,1,30) itemdesc,i_item_sk item_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#70 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'frequent_ss_items as\n (select substr(i_item_desc,1,30) itemdesc,i_item_sk item_s' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#71 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'cross_items as\n (select i_item_sk ss_item_sk\n from item,\n (select iss.i_brand_id' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#72 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'cross_items as\n (select i_item_sk ss_item_sk\n from item,\n (select iss.i_brand_id' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#73 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'v1 as(\n select i_category, i_brand,\n        cc_name,\n        d_year, d_moy,\n    ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#74 failed: (1146, "Table 'sbtest.store' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#75 failed: (1146, "Table 'sbtest.item' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#76 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#77 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#78 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'customer_total_return as\n (select wr_returning_customer_sk as ctr_customer_sk\n  ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#79 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'year_total as (\n select c_customer_id customer_id\n       ,c_first_name customer_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#80 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(select distinct c_last_name, c_first_name, d_date\n       from catalog_sales, da' at line 8")
[./benchmark_queries/tpcds_all.sql] stmt#81 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss as\n (select s_store_sk,\n         sum(ss_ext_sales_price) as sales,\n         s' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#82 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#83 failed: (1146, "Table 'sbtest.customer' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#84 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'my_customers as (\n select distinct c_customer_sk\n        , c_current_addr_sk\n fr' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#85 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#86 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss as (\n select i_item_id,sum(ss_ext_sales_price) total_sales\n from\n \tstore_sale' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#87 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'wscs as\n (select sold_date_sk\n        ,sales_price\n  from (select ws_sold_date_s' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#88 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#89 failed: (1584, 'Incorrect parameters in the call to stored function `cast`')
[./benchmark_queries/tpcds_all.sql] stmt#90 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#91 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_manufact_id) avg_quarterly_sales\nfrom item, store_sales, date_di' at line 4")
[./benchmark_queries/tpcds_all.sql] stmt#92 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#93 failed: (1221, 'Incorrect usage of CUBE/ROLLUP and ORDER BY')
[./benchmark_queries/tpcds_all.sql] stmt#94 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#95 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ssales as\n(select c_last_name\n      ,c_first_name\n      ,s_store_name\n      ,ca_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#96 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ssales as\n(select c_last_name\n      ,c_first_name\n      ,s_store_name\n      ,ca_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#97 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'year_total as (\n select c_customer_id customer_id\n       ,c_first_name customer_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#98 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#99 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#100 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'sr_items as\n (select i_item_id item_id,\n        sum(sr_return_quantity) sr_item_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#101 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#102 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ssr as\n (select s_store_id,\n        sum(sales_price) as sales,\n        sum(profi' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#103 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
